,video_A,video_B,count_A,count_B,num_subjects,valid_subjects,total_subjects,total_valid_subjects
0,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf28_AAC_br10_ds2_us2_bitrateV_64106_bitrateA_10041.mp4,7,36,43,43,247,242
1,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf26_AAC_br5_ds2_us2_bitrateV_87963_bitrateA_5085.mp4,7,36,43,43,247,242
2,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf26_AAC_br10_ds2_us2_bitrateV_87963_bitrateA_10041.mp4,5,38,43,43,247,242
3,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf28_AAC_br5_ds2_us2_bitrateV_64106_bitrateA_5085.mp4,6,37,43,43,247,242
4,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf30_AAC_br5_ds2_us2_bitrateV_46962_bitrateA_5085.mp4,10,33,43,43,247,242
5,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf30_AAC_br10_ds2_us2_bitrateV_46962_bitrateA_10041.mp4,6,37,43,43,247,242
6,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf32_AAC_br10_ds4_us4_bitrateV_11810_bitrateA_10041.mp4,10,33,43,43,247,242
7,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AVC_crf32_AAC_br5_ds4_us4_bitrateV_11810_bitrateA_5085.mp4,10,33,43,43,247,242
8,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf60_AAC_br5_ds2_us2_bitrateV_10650_bitrateA_5085.mp4,15,28,43,43,247,242
9,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf60_AAC_br10_ds2_us2_bitrateV_10650_bitrateA_10041.mp4,14,29,43,43,247,242
10,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf63_AAC_br5_ds2_us2_bitrateV_8628_bitrateA_5085.mp4,16,27,43,43,247,242
11,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf63_AAC_br5_ds1_us1_bitrateV_15128_bitrateA_5085.mp4,10,33,43,43,247,242
12,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf63_AAC_br10_ds2_us2_bitrateV_8628_bitrateA_10041.mp4,16,27,43,43,247,242
13,MS_driving_video_AVC_crf20_resemble_audio.mp4,MS_AV1_crf63_AAC_br10_ds1_us1_bitrateV_15128_bitrateA_10041.mp4,7,36,43,43,247,242
14,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf28_AAC_br10_ds2_us2_bitrateV_64106_bitrateA_10041.mp4,6,37,43,43,247,242
15,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf26_AAC_br5_ds2_us2_bitrateV_87963_bitrateA_5085.mp4,9,34,43,43,247,242
16,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf26_AAC_br10_ds2_us2_bitrateV_87963_bitrateA_10041.mp4,5,38,43,43,247,242
17,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf28_AAC_br5_ds2_us2_bitrateV_64106_bitrateA_5085.mp4,11,32,43,43,247,242
18,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf30_AAC_br5_ds2_us2_bitrateV_46962_bitrateA_5085.mp4,10,33,43,43,247,242
19,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf30_AAC_br10_ds2_us2_bitrateV_46962_bitrateA_10041.mp4,7,36,43,43,247,242
20,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf32_AAC_br10_ds4_us4_bitrateV_11810_bitrateA_10041.mp4,15,28,43,43,247,242
21,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AVC_crf32_AAC_br5_ds4_us4_bitrateV_11810_bitrateA_5085.mp4,16,27,43,43,247,242
22,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf60_AAC_br5_ds2_us2_bitrateV_10650_bitrateA_5085.mp4,20,23,43,43,247,242
23,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf60_AAC_br10_ds2_us2_bitrateV_10650_bitrateA_10041.mp4,17,26,43,43,247,242
24,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf63_AAC_br5_ds2_us2_bitrateV_8628_bitrateA_5085.mp4,24,19,43,43,247,242
25,MS_driving_video_AVC_crf20_original_audio_br10.mp4,MS_AV1_crf63_AAC_br5_ds1_us1_bitrateV_15128_bitrateA_5085.mp4,15,28,43,43,247,242
